experiment_name,policy_name,run_index,average_reward,average_quality,average_latency,average_iterations,total_experiences,match_rate
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,0,0.8125523725490194,0.7829557153963795,1.113949321223406,0.8529411764705882,102,0.34
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,1,0.7897892982456142,0.7776244836112884,1.0900383916975636,1.0263157894736843,114,0.38
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,2,0.8091435999999999,0.7992614760911766,1.0983574913895169,0.872,125,0.4166666666666667
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,3,0.7665590695652172,0.7902907692756066,1.1528954650848973,1.0521739130434782,115,0.38333333333333336
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,4,0.8106387096774195,0.7888459780142485,1.1286620340059548,0.8951612903225806,124,0.41333333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,5,0.806287744,0.7949468989341898,1.1171833241656437,0.928,125,0.4166666666666667
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,6,0.780062300813008,0.7861516825724301,1.146177503734973,1.0,123,0.41
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,7,0.7565816060606063,0.7750993072338354,1.1279302109521316,1.0151515151515151,132,0.44
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,8,0.7970506339285713,0.7885182276271915,1.097208912183291,0.9196428571428571,112,0.37333333333333335
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,9,0.7944083064516124,0.7861453760055251,1.1250635743728612,0.8709677419354839,124,0.41333333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,10,0.7837513304347826,0.7863086067929618,1.1294062804290275,0.8521739130434782,115,0.38333333333333336
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,11,0.787739743362832,0.786818350275478,1.1143148505580074,0.9469026548672567,113,0.37666666666666665
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,12,0.7972223467741939,0.7947260778349697,1.1113657061880755,1.1370967741935485,124,0.41333333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,13,0.8042789767441859,0.7845440458020976,1.1091773846228155,0.8604651162790697,129,0.43
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,14,0.8004393305084744,0.7762684792451933,1.1437027655287422,0.847457627118644,118,0.3933333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,15,0.8097508373983736,0.7869344900516579,1.1046483652540584,0.8943089430894309,123,0.41
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,16,0.7866008376068377,0.7836420468224474,1.086123372018478,0.9572649572649573,117,0.39
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,17,0.8270967946428572,0.79086717030434,1.114693753383882,0.8571428571428571,112,0.37333333333333335
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,18,0.7879334406779663,0.7778361104196618,1.1200862203228124,0.8305084745762712,118,0.3933333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,19,0.8008884424778759,0.7844665954596244,1.0697932933087908,0.9469026548672567,113,0.37666666666666665
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,20,0.7931167672413796,0.7954268715541108,1.0979267669425221,0.9568965517241379,116,0.38666666666666666
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,21,0.8016602799999994,0.7802056615743044,1.0909081169687092,0.92,125,0.4166666666666667
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,22,0.8279070534351144,0.7905776625892145,1.13127495694799,0.8320610687022901,131,0.43666666666666665
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,23,0.7867893553719006,0.7815018092139073,1.1008607010386198,0.859504132231405,121,0.4033333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,24,0.7894092949640282,0.7931336243636281,1.1248470907796027,1.0071942446043165,139,0.4633333333333333
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,25,0.7926741840000001,0.7851840791465716,1.0981983748309962,0.896,125,0.4166666666666667
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,26,0.7897709401709404,0.7758046392555829,1.122383132465611,0.8717948717948718,117,0.39
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,27,0.7917978719999998,0.7826023672825071,1.1280903468051413,0.944,125,0.4166666666666667
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,28,0.7589094424778761,0.7738937035743744,1.1138438883832436,1.0176991150442478,113,0.37666666666666665
2-cold-start-linucb-alpha-0.5,LinUCBPolicy,29,0.8114542560000001,0.7904402174673211,1.0997195933735286,0.92,125,0.4166666666666667
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,0,0.8125523725490194,0.7829557153963795,1.113949321223406,0.8529411764705882,102,0.34
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,1,0.7897892982456142,0.7776244836112884,1.0900383916975636,1.0263157894736843,114,0.38
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,2,0.8091435999999999,0.7992614760911766,1.0983574913895169,0.872,125,0.4166666666666667
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,3,0.7665590695652172,0.7902907692756066,1.1528954650848973,1.0521739130434782,115,0.38333333333333336
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,4,0.8106387096774195,0.7888459780142485,1.1286620340059548,0.8951612903225806,124,0.41333333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,5,0.806287744,0.7949468989341898,1.1171833241656437,0.928,125,0.4166666666666667
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,6,0.780062300813008,0.7861516825724301,1.146177503734973,1.0,123,0.41
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,7,0.7565816060606063,0.7750993072338354,1.1279302109521316,1.0151515151515151,132,0.44
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,8,0.7970506339285713,0.7885182276271915,1.097208912183291,0.9196428571428571,112,0.37333333333333335
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,9,0.7944083064516124,0.7861453760055251,1.1250635743728612,0.8709677419354839,124,0.41333333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,10,0.7837513304347826,0.7863086067929618,1.1294062804290275,0.8521739130434782,115,0.38333333333333336
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,11,0.787739743362832,0.786818350275478,1.1143148505580074,0.9469026548672567,113,0.37666666666666665
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,12,0.7972223467741939,0.7947260778349697,1.1113657061880755,1.1370967741935485,124,0.41333333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,13,0.8042789767441859,0.7845440458020976,1.1091773846228155,0.8604651162790697,129,0.43
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,14,0.8004393305084744,0.7762684792451933,1.1437027655287422,0.847457627118644,118,0.3933333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,15,0.8097508373983736,0.7869344900516579,1.1046483652540584,0.8943089430894309,123,0.41
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,16,0.7866008376068377,0.7836420468224474,1.086123372018478,0.9572649572649573,117,0.39
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,17,0.8270967946428572,0.79086717030434,1.114693753383882,0.8571428571428571,112,0.37333333333333335
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,18,0.7879334406779663,0.7778361104196618,1.1200862203228124,0.8305084745762712,118,0.3933333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,19,0.8008884424778759,0.7844665954596244,1.0697932933087908,0.9469026548672567,113,0.37666666666666665
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,20,0.7931167672413796,0.7954268715541108,1.0979267669425221,0.9568965517241379,116,0.38666666666666666
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,21,0.8016602799999994,0.7802056615743044,1.0909081169687092,0.92,125,0.4166666666666667
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,22,0.8279070534351144,0.7905776625892145,1.13127495694799,0.8320610687022901,131,0.43666666666666665
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,23,0.7867893553719006,0.7815018092139073,1.1008607010386198,0.859504132231405,121,0.4033333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,24,0.7894092949640282,0.7931336243636281,1.1248470907796027,1.0071942446043165,139,0.4633333333333333
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,25,0.7926741840000001,0.7851840791465716,1.0981983748309962,0.896,125,0.4166666666666667
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,26,0.7897709401709404,0.7758046392555829,1.122383132465611,0.8717948717948718,117,0.39
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,27,0.7917978719999998,0.7826023672825071,1.1280903468051413,0.944,125,0.4166666666666667
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,28,0.7589094424778761,0.7738937035743744,1.1138438883832436,1.0176991150442478,113,0.37666666666666665
2-cold-start-linucb-alpha-1.0,LinUCBPolicy,29,0.8114542560000001,0.7904402174673211,1.0997195933735286,0.92,125,0.4166666666666667
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,0,0.8125523725490194,0.7829557153963795,1.113949321223406,0.8529411764705882,102,0.34
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,1,0.7897892982456142,0.7776244836112884,1.0900383916975636,1.0263157894736843,114,0.38
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,2,0.8091435999999999,0.7992614760911766,1.0983574913895169,0.872,125,0.4166666666666667
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,3,0.7665590695652172,0.7902907692756066,1.1528954650848973,1.0521739130434782,115,0.38333333333333336
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,4,0.8106387096774195,0.7888459780142485,1.1286620340059548,0.8951612903225806,124,0.41333333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,5,0.806287744,0.7949468989341898,1.1171833241656437,0.928,125,0.4166666666666667
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,6,0.780062300813008,0.7861516825724301,1.146177503734973,1.0,123,0.41
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,7,0.7565816060606063,0.7750993072338354,1.1279302109521316,1.0151515151515151,132,0.44
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,8,0.7970506339285713,0.7885182276271915,1.097208912183291,0.9196428571428571,112,0.37333333333333335
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,9,0.7944083064516124,0.7861453760055251,1.1250635743728612,0.8709677419354839,124,0.41333333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,10,0.7837513304347826,0.7863086067929618,1.1294062804290275,0.8521739130434782,115,0.38333333333333336
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,11,0.787739743362832,0.786818350275478,1.1143148505580074,0.9469026548672567,113,0.37666666666666665
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,12,0.7972223467741939,0.7947260778349697,1.1113657061880755,1.1370967741935485,124,0.41333333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,13,0.8042789767441859,0.7845440458020976,1.1091773846228155,0.8604651162790697,129,0.43
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,14,0.8004393305084744,0.7762684792451933,1.1437027655287422,0.847457627118644,118,0.3933333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,15,0.8097508373983736,0.7869344900516579,1.1046483652540584,0.8943089430894309,123,0.41
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,16,0.7866008376068377,0.7836420468224474,1.086123372018478,0.9572649572649573,117,0.39
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,17,0.8270967946428572,0.79086717030434,1.114693753383882,0.8571428571428571,112,0.37333333333333335
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,18,0.7879334406779663,0.7778361104196618,1.1200862203228124,0.8305084745762712,118,0.3933333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,19,0.8008884424778759,0.7844665954596244,1.0697932933087908,0.9469026548672567,113,0.37666666666666665
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,20,0.7931167672413796,0.7954268715541108,1.0979267669425221,0.9568965517241379,116,0.38666666666666666
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,21,0.8016602799999994,0.7802056615743044,1.0909081169687092,0.92,125,0.4166666666666667
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,22,0.8279070534351144,0.7905776625892145,1.13127495694799,0.8320610687022901,131,0.43666666666666665
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,23,0.7867893553719006,0.7815018092139073,1.1008607010386198,0.859504132231405,121,0.4033333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,24,0.7894092949640282,0.7931336243636281,1.1248470907796027,1.0071942446043165,139,0.4633333333333333
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,25,0.7926741840000001,0.7851840791465716,1.0981983748309962,0.896,125,0.4166666666666667
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,26,0.7897709401709404,0.7758046392555829,1.122383132465611,0.8717948717948718,117,0.39
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,27,0.7917978719999998,0.7826023672825071,1.1280903468051413,0.944,125,0.4166666666666667
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,28,0.7589094424778761,0.7738937035743744,1.1138438883832436,1.0176991150442478,113,0.37666666666666665
2-cold-start-linucb-alpha-2.0,LinUCBPolicy,29,0.8114542560000001,0.7904402174673211,1.0997195933735286,0.92,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,0,0.8125523725490194,0.7829557153963795,1.113949321223406,0.8529411764705882,102,0.34
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,1,0.7897892982456142,0.7776244836112884,1.0900383916975636,1.0263157894736843,114,0.38
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,2,0.8091435999999999,0.7992614760911766,1.0983574913895169,0.872,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,3,0.7665590695652172,0.7902907692756066,1.1528954650848973,1.0521739130434782,115,0.38333333333333336
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,4,0.8106387096774195,0.7888459780142485,1.1286620340059548,0.8951612903225806,124,0.41333333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,5,0.806287744,0.7949468989341898,1.1171833241656437,0.928,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,6,0.780062300813008,0.7861516825724301,1.146177503734973,1.0,123,0.41
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,7,0.7565816060606063,0.7750993072338354,1.1279302109521316,1.0151515151515151,132,0.44
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,8,0.7970506339285713,0.7885182276271915,1.097208912183291,0.9196428571428571,112,0.37333333333333335
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,9,0.7944083064516124,0.7861453760055251,1.1250635743728612,0.8709677419354839,124,0.41333333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,10,0.7837513304347826,0.7863086067929618,1.1294062804290275,0.8521739130434782,115,0.38333333333333336
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,11,0.787739743362832,0.786818350275478,1.1143148505580074,0.9469026548672567,113,0.37666666666666665
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,12,0.7972223467741939,0.7947260778349697,1.1113657061880755,1.1370967741935485,124,0.41333333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,13,0.8042789767441859,0.7845440458020976,1.1091773846228155,0.8604651162790697,129,0.43
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,14,0.8004393305084744,0.7762684792451933,1.1437027655287422,0.847457627118644,118,0.3933333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,15,0.8097508373983736,0.7869344900516579,1.1046483652540584,0.8943089430894309,123,0.41
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,16,0.7866008376068377,0.7836420468224474,1.086123372018478,0.9572649572649573,117,0.39
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,17,0.8270967946428572,0.79086717030434,1.114693753383882,0.8571428571428571,112,0.37333333333333335
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,18,0.7879334406779663,0.7778361104196618,1.1200862203228124,0.8305084745762712,118,0.3933333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,19,0.8008884424778759,0.7844665954596244,1.0697932933087908,0.9469026548672567,113,0.37666666666666665
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,20,0.7931167672413796,0.7954268715541108,1.0979267669425221,0.9568965517241379,116,0.38666666666666666
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,21,0.8016602799999994,0.7802056615743044,1.0909081169687092,0.92,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,22,0.8279070534351144,0.7905776625892145,1.13127495694799,0.8320610687022901,131,0.43666666666666665
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,23,0.7867893553719006,0.7815018092139073,1.1008607010386198,0.859504132231405,121,0.4033333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,24,0.7894092949640282,0.7931336243636281,1.1248470907796027,1.0071942446043165,139,0.4633333333333333
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,25,0.7926741840000001,0.7851840791465716,1.0981983748309962,0.896,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,26,0.184976,0.621886546742574,0.7382012107753992,1.0,1,0.0033333333333333335
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,27,0.7917978719999998,0.7826023672825071,1.1280903468051413,0.944,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,28,0.7589094424778761,0.7738937035743744,1.1138438883832436,1.0176991150442478,113,0.37666666666666665
3-sequential-learning-linucb-alpha-0.25,LinUCBPolicy,29,0.8114542560000001,0.7904402174673211,1.0997195933735286,0.92,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,0,0.8125523725490194,0.7829557153963795,1.113949321223406,0.8529411764705882,102,0.34
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,1,0.7897892982456142,0.7776244836112884,1.0900383916975636,1.0263157894736843,114,0.38
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,2,0.8091435999999999,0.7992614760911766,1.0983574913895169,0.872,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,3,0.7665590695652172,0.7902907692756066,1.1528954650848973,1.0521739130434782,115,0.38333333333333336
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,4,0.8106387096774195,0.7888459780142485,1.1286620340059548,0.8951612903225806,124,0.41333333333333333
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,5,0.806287744,0.7949468989341898,1.1171833241656437,0.928,125,0.4166666666666667
3-sequential-learning-linucb-alpha-0.5,LinUCBPolicy,6,0.780062300813008,0.7861516825724301,1.146177503734973,1.0,123,0.41
